Nom du fichier,Aire du Rectangle,Aire de l'enveloppe,Ratio
test-102.points,140214.5057760314,111261.0,1.2602305010383819,1.1444756215383958
test-103.points,134848.25599999996,105284.5,1.2807987500534264,1.1525618302642544
test-104.points,139434.77524326046,108680.5,1.2829787794798557,1.2456553068879486
test-105.points,138011.20095124852,110753.0,1.2461170437933828,1.1819768161356015
test-106.points,137680.29364745464,112079.5,1.2284163798683492,1.232609120170963
test-107.points,144003.57816268355,114123.0,1.261827836305421,1.0981752146556967
test-108.points,137693.56945698438,110927.5,1.2412933623942157,1.1233272016368725
test-109.points,138846.52789342208,109843.0,1.2640453000502725,1.1358289416765797
test-110.points,135867.1331058021,109451.0,1.241351226629287,1.3283218567981578
test-111.points,137060.85477433217,113025.5,1.2126542662879807,1.1112442609779143
test-112.points,145295.16396669185,114438.5,1.269635340962105,1.125068852891641
test-113.points,135746.24178712216,108414.0,1.2521098915926185,1.1479369588929231
test-114.points,136276.97409326423,109102.5,1.2490728818612244,1.1546082261594184
test-115.points,140965.1012536162,112236.0,1.2559704662819076,1.132571762395293
test-116.points,132728.36485994898,107760.0,1.2317034600960373,1.1523067988486015
test-117.points,140061.96284254533,112169.0,1.2486690872036421,1.1924091398731167
test-118.points,140973.87853577366,112298.0,1.2553552025483417,1.231965387850372
test-119.points,135992.6586433261,106729.0,1.274186572003168,1.161240106647167
test-120.points,136078.81325169466,109755.0,1.2398415858201874,1.1691734117687154
test-121.points,141530.35076135278,110669.0,1.278861747746458,1.2760700834030485
test-122.points,137073.8489761643,111908.0,1.2248798028395138,1.1193007634055987
test-123.points,138589.37946338503,109720.5,1.2631129047296088,1.2796871882766565
test-124.points,131141.17647058822,104624.5,1.253446147609673,1.3422854768467851
test-125.points,136999.27014466186,109604.5,1.2499420201238258,1.140511598632296
test-126.points,139513.1296758104,110152.5,1.2665452865419342,1.124047964053003
test-127.points,138755.13537591044,108977.0,1.2732515611175792,1.140856531565096
test-128.points,131363.21462799492,105368.0,1.2467088169842355,1.2984190555657162
test-129.points,125520.87449664428,104865.0,1.1969758689423953,1.1942670493724867
test-130.points,140478.7033375746,110797.5,1.2678869409289435,1.1886496181114463
test-131.points,129699.38113031286,107262.5,1.2091773092209566,1.153354408011302
test-132.points,137306.46355032144,108835.5,1.2615962948699775,1.1505656107660944
test-133.points,145254.97922848669,113565.5,1.2790414274448374,1.1225137307667032
test-134.points,133394.68659594984,107272.0,1.2435182209332336,1.280686191580588
test-135.points,138392.7230022975,110682.5,1.2503577620879318,1.179579470287921
test-136.points,136568.20754716982,109034.5,1.2525228945624534,1.1384316184231462
test-137.points,134424.35592343498,108941.5,1.2339132095981327,1.223982896188751
test-138.points,136312.35123367194,110435.5,1.2343164221076732,1.255639953250617
test-139.points,134491.45103857561,105169.0,1.278812682811243,1.1612783727244347
test-140.points,137744.49185992416,111641.0,1.233816356535002,1.1762342642917074
test-141.points,137231.3066494512,112552.0,1.2192702630735233,1.1289010234047605
test-142.points,141356.4922107474,112379.5,1.2578494495058923,1.1821762284843478
test-143.points,138263.285147453,108786.0,1.270965796586445,1.2567627594027988
test-144.points,139566.34706091182,111247.5,1.2545571546408847,1.2024142191047194
test-145.points,139849.97347480105,112653.0,1.2414225406762451,1.180738210378076
test-146.points,141983.61912017694,110785.5,1.281608325278822,1.1054543333334175
test-147.points,134308.74017607895,107277.5,1.2519749264857865,1.1624868099207368
test-148.points,139751.02827763482,112776.5,1.239185719344321,1.166856900996653
test-149.points,142174.05884550716,114868.0,1.23771684755987,1.1076650626338231
